market,date,week,revenue,tv_spend,facebook_spend,search_spend,ooh_spend,print_spend,competitor_price,events,trend,seasonality,promotions
BE,2021-08-30,87,554519.94,15430.74,8536.58,8847.9,5193.24,3755.08,92.7,0.0,1.0202,1.2355,1.0
BE,2021-09-06,88,522993.17,17824.34,6704.14,6972.22,4318.05,3206.75,96.05,0.0,1.0204,1.1985,0.0
BE,2021-09-13,89,508016.43,14997.6,10743.41,4288.32,5022.46,3401.84,120.65,0.0,1.0206,1.155,0.0
BE,2021-09-20,90,525647.1,21485.64,7484.66,7497.65,4413.93,2696.71,86.51,0.0,1.0209,1.1063,0.0
BE,2021-09-27,91,511576.85,22656.96,7009.25,11055.15,4496.48,4277.67,95.81,1.0,1.0211,1.0541,0.0
BE,2021-10-04,92,486639.3,18993.95,7409.67,7023.29,3238.83,4570.86,100.98,0.0,1.0213,1.0,0.0
BE,2021-10-11,93,446140.82,21237.93,6083.93,9400.57,4846.32,3353.77,96.97,1.0,1.0216,0.9459,0.0
BE,2021-10-18,94,442294.02,11309.76,7410.1,10128.55,5783.43,4961.23,110.74,0.0,1.0218,0.8937,0.0
BE,2021-10-25,95,454197.45,11798.68,7858.19,8221.54,5002.28,2848.48,96.92,0.0,1.022,0.845,1.0
BE,2021-11-01,96,431894.53,15595.02,9551.23,8534.21,6090.59,2499.32,97.65,1.0,1.0223,0.8015,0.0
BE,2021-11-08,97,385623.52,17022.4,7786.37,5543.93,5652.82,2897.41,108.15,0.0,1.0225,0.7645,0.0
BE,2021-11-15,98,377147.19,16451.62,6394.1,7338.51,5078.01,3275.74,118.11,0.0,1.0227,0.7349,0.0
BE,2021-11-22,99,347828.88,11689.36,5911.45,10281.7,4566.0,5090.93,114.07,0.0,1.023,0.7136,0.0
BE,2021-11-29,100,378229.41,21782.72,9223.51,8959.9,4794.93,3341.87,98.63,0.0,1.0232,0.7008,0.0
BE,2021-12-06,101,419643.11,25788.65,9142.61,9673.79,3816.81,2984.93,99.5,1.0,1.0234,0.6963,0.0
BE,2021-12-13,102,401105.9,23059.82,8160.88,9422.86,5212.89,3011.65,100.47,1.0,1.0237,0.6999,0.0
BE,2021-12-20,103,399329.48,22760.31,8476.02,13449.31,5773.93,4592.83,101.47,0.0,1.0239,0.7108,0.0
BE,2021-12-27,104,383026.17,19910.55,10264.57,8704.44,7675.35,4569.72,91.53,0.0,1.0241,0.7279,0.0
BE,2022-01-03,105,397275.99,16127.46,12396.35,12813.14,6434.28,3502.9,109.37,0.0,1.0244,0.75,0.0
BE,2022-01-10,106,434548.32,20028.31,8330.82,10134.53,4898.15,2467.12,102.07,0.0,1.0246,0.7758,0.0
BE,2022-01-17,107,443590.74,28530.53,10216.54,13439.36,4289.02,3108.91,99.55,0.0,1.0248,0.8037,0.0
BE,2022-01-24,108,428252.49,18959.86,12152.29,7699.41,5865.93,5483.37,87.29,0.0,1.0251,0.8326,0.0
BE,2022-01-31,109,444266.71,18812.81,8741.74,10730.14,7216.81,4709.42,100.62,0.0,1.0253,0.8609,0.0
BE,2022-02-07,110,467527.95,25617.34,10453.57,9660.69,6014.2,4249.46,81.07,0.0,1.0256,0.8878,0.0
BE,2022-02-14,111,474181.64,26203.46,10530.31,10906.93,7056.68,5830.79,94.18,1.0,1.0258,0.9121,0.0
BE,2022-02-21,112,452987.02,17804.16,7908.56,13340.74,6198.99,5967.45,94.37,0.0,1.026,0.9335,0.0
BE,2022-02-28,113,492658.01,20492.89,11176.23,11631.0,7417.38,4293.66,102.87,0.0,1.0263,0.9515,1.0
BE,2022-03-07,114,493387.51,19585.28,10954.0,13542.17,4444.79,4338.83,118.8,0.0,1.0265,0.9661,0.0
BE,2022-03-14,115,500091.78,22183.49,12153.72,9472.93,8669.39,3866.34,105.72,0.0,1.0267,0.9777,0.0
BE,2022-03-21,116,500178.09,26790.22,8368.23,9167.18,5118.91,4139.35,114.48,0.0,1.027,0.9866,0.0
BE,2022-03-28,117,472006.84,18438.67,11007.84,11021.32,7637.95,3088.08,106.45,0.0,1.0272,0.9938,0.0
BE,2022-04-04,118,499465.49,26740.94,14011.74,10893.14,6228.24,3082.28,111.25,0.0,1.0274,1.0,0.0
BE,2022-04-11,119,494138.93,22343.84,15498.76,10542.31,6417.4,2870.77,118.57,0.0,1.0277,1.0062,0.0
BE,2022-04-18,120,508344.0,31943.12,13691.08,8810.44,6224.82,5305.69,92.68,0.0,1.0279,1.0134,0.0
BE,2022-04-25,121,509787.31,23044.86,8281.79,13428.43,6831.28,2979.68,92.03,0.0,1.0281,1.0223,0.0
BE,2022-05-02,122,501984.85,21072.65,11713.87,9964.89,7036.67,5973.96,106.69,0.0,1.0284,1.0339,0.0
BE,2022-05-09,123,473578.56,23726.42,9612.04,13674.95,7735.46,3634.37,99.96,0.0,1.0286,1.0485,0.0
BE,2022-05-16,124,552378.42,19621.45,11117.42,10546.9,8089.46,5670.2,102.2,0.0,1.0289,1.0665,1.0
BE,2022-05-23,125,542022.59,13313.76,8781.98,11732.96,6645.18,3851.1,97.51,0.0,1.0291,1.0879,1.0
BE,2022-05-30,126,507833.2,19494.88,6730.83,11382.22,8249.79,2812.99,94.04,0.0,1.0293,1.1122,0.0
BE,2022-06-06,127,549804.54,19134.63,9389.38,8421.79,6163.04,5069.36,116.21,0.0,1.0296,1.1391,1.0
BE,2022-06-13,128,546869.93,13522.93,11354.69,10649.51,7235.25,5080.99,89.0,0.0,1.0298,1.1674,0.0
BE,2022-06-20,129,553479.73,19220.12,10314.26,13513.74,6353.24,3194.1,106.86,0.0,1.03,1.1963,0.0
BE,2022-06-27,130,557993.8,11240.61,10353.69,10063.68,5117.44,3578.39,105.24,0.0,1.0303,1.2242,1.0
BE,2022-07-04,131,586928.91,17512.12,9817.63,11106.72,5850.92,3082.26,84.21,0.0,1.0305,1.25,0.0
BE,2022-07-11,132,570182.58,19384.11,9989.52,10523.22,6103.11,3607.61,91.69,0.0,1.0307,1.2721,0.0
BE,2022-07-18,133,568677.83,18508.44,10039.51,9635.6,5411.79,3709.56,93.37,0.0,1.031,1.2892,0.0
BE,2022-07-25,134,603987.55,16376.58,8431.66,9254.53,5795.08,3317.92,105.65,0.0,1.0312,1.3001,0.0
BE,2022-08-01,135,584094.06,17250.06,8920.61,9735.69,6176.32,2233.17,96.33,0.0,1.0315,1.3037,0.0
BE,2022-08-08,136,584657.04,14570.85,11652.81,9959.35,5159.97,3054.62,99.14,0.0,1.0317,1.2992,0.0
BE,2022-08-15,137,595509.75,17075.67,8761.41,6215.48,2102.02,3887.25,85.42,0.0,1.0319,1.2864,1.0
BE,2022-08-22,138,562064.37,17023.75,8485.76,8830.3,6743.02,3225.03,123.26,0.0,1.0322,1.2651,1.0
BE,2022-08-29,139,549891.74,13653.95,8497.41,8019.56,4698.32,3112.33,100.71,0.0,1.0324,1.2355,0.0
BE,2022-09-05,140,546472.88,17397.32,7896.77,7610.07,4138.26,2687.84,104.99,0.0,1.0326,1.1985,0.0
BE,2022-09-12,141,510015.67,17271.74,7492.16,10333.86,3817.01,2882.17,94.59,0.0,1.0329,1.155,0.0
BE,2022-09-19,142,529904.86,15810.84,8518.53,6978.22,4576.2,4192.6,93.47,0.0,1.0331,1.1063,1.0
BE,2022-09-26,143,476735.69,24247.86,7342.41,5889.95,4349.54,2522.61,119.13,0.0,1.0333,1.0541,0.0
BE,2022-10-03,144,504043.18,15901.56,7942.91,9482.95,4185.06,3744.16,80.83,0.0,1.0336,1.0,0.0
BE,2022-10-10,145,479750.57,15511.05,6915.57,5880.77,4256.18,3316.63,102.79,1.0,1.0338,0.9459,0.0
BE,2022-10-17,146,448474.06,15139.02,8446.58,5079.94,5486.37,3469.12,87.88,0.0,1.0341,0.8937,0.0
BE,2022-10-24,147,426812.2,13443.17,9315.98,9856.62,7037.15,2847.84,95.95,0.0,1.0343,0.845,1.0
BE,2022-10-31,148,424837.5,19180.7,8076.02,8701.17,5890.5,3136.04,93.62,0.0,1.0345,0.8015,0.0
BE,2022-11-07,149,395619.35,14740.77,5111.42,9350.57,6276.56,3413.25,90.14,0.0,1.0348,0.7645,0.0
BE,2022-11-14,150,399047.5,15367.05,9691.62,7901.13,4808.31,3106.2,100.35,0.0,1.035,0.7349,0.0
BE,2022-11-21,151,369932.44,15718.6,9019.11,6368.8,5395.06,3756.49,74.32,0.0,1.0352,0.7136,0.0
BE,2022-11-28,152,366921.37,14387.88,7179.09,6834.08,5833.71,3911.33,96.85,0.0,1.0355,0.7008,0.0
BE,2022-12-05,153,403123.21,11851.86,10530.28,8623.39,4750.11,5233.13,99.1,0.0,1.0357,0.6963,0.0
BE,2022-12-12,154,392223.74,16857.11,6690.69,6924.8,5098.61,3922.14,86.41,0.0,1.036,0.6999,0.0
BE,2022-12-19,155,392065.9,22230.31,11440.8,10043.48,6647.76,2337.4,115.13,0.0,1.0362,0.7108,0.0
BE,2022-12-26,156,399299.5,20037.13,9528.24,8747.32,7044.4,4752.35,94.06,0.0,1.0364,0.7279,0.0
BE,2023-01-02,157,400154.34,25757.76,5361.41,10178.6,5968.61,3766.06,97.63,0.0,1.0367,0.75,0.0
BE,2023-01-09,158,432277.67,22979.5,10345.71,10299.39,4560.98,5603.61,94.08,0.0,1.0369,0.7758,0.0
BE,2023-01-16,159,434333.08,22446.12,9333.26,10944.38,5734.78,5258.8,99.18,0.0,1.0371,0.8037,0.0
BE,2023-01-23,160,463787.54,28412.15,9170.85,11351.16,4407.14,3710.93,113.08,0.0,1.0374,0.8326,0.0
BE,2023-01-30,161,445154.57,20537.39,8927.04,9751.88,6377.8,4793.65,124.73,0.0,1.0376,0.8609,0.0
BE,2023-02-06,162,465044.46,21492.13,10342.18,11002.65,6692.56,3740.62,107.46,0.0,1.0379,0.8878,0.0
BE,2023-02-13,163,451709.4,21427.31,9696.26,11245.14,6094.13,4297.62,110.88,0.0,1.0381,0.9121,0.0
BE,2023-02-20,164,458426.5,28396.41,6820.11,5578.6,6823.84,4926.13,117.16,0.0,1.0383,0.9335,0.0
BE,2023-02-27,165,495086.83,21894.24,13725.31,12356.42,7112.36,5350.89,102.49,0.0,1.0386,0.9515,0.0
BE,2023-03-06,166,485492.52,19175.33,10477.58,11346.3,6949.12,5195.3,115.7,0.0,1.0388,0.9661,0.0
BE,2023-03-13,167,488693.72,24743.45,9449.96,12319.41,5046.14,4494.63,107.92,0.0,1.0391,0.9777,0.0
BE,2023-03-20,168,498938.62,18583.58,8598.49,8246.66,6325.3,6648.06,101.44,0.0,1.0393,0.9866,0.0
BE,2023-03-27,169,541512.39,24607.93,12831.53,10415.63,7217.44,4122.45,103.5,1.0,1.0395,0.9938,0.0
BE,2023-04-03,170,507528.05,24058.54,8224.69,8684.42,8770.53,3015.45,81.79,0.0,1.0398,1.0,0.0
BE,2023-04-10,171,524348.44,21321.93,11377.64,12730.85,6286.85,3178.21,102.92,0.0,1.04,1.0062,0.0
BE,2023-04-17,172,520535.69,24558.85,9743.46,7931.12,7347.84,5713.24,84.56,0.0,1.0402,1.0134,0.0
BE,2023-04-24,173,528900.72,15399.93,9809.81,8925.78,7732.15,4317.47,83.75,0.0,1.0405,1.0223,0.0
BE,2023-05-01,174,504414.46,22455.85,8473.61,12035.51,6267.55,4487.77,101.93,0.0,1.0407,1.0339,0.0
BE,2023-05-08,175,516500.96,19542.56,9431.97,9412.47,7944.64,3839.81,88.86,0.0,1.041,1.0485,0.0
BE,2023-05-15,176,521675.16,33481.69,10665.09,8669.54,7923.64,3872.96,99.93,0.0,1.0412,1.0665,0.0
BE,2023-05-22,177,545230.75,21676.46,11005.32,12416.71,8047.45,3542.43,101.38,0.0,1.0414,1.0879,0.0
BE,2023-05-29,178,570665.78,18253.68,8734.7,12327.12,6787.83,4535.76,101.83,1.0,1.0417,1.1122,0.0
BE,2023-06-05,179,569950.22,14784.11,10019.63,11679.01,9013.43,4002.59,90.96,1.0,1.0419,1.1391,0.0
BE,2023-06-12,180,598640.1,25322.42,11823.98,11744.17,5282.69,4365.38,108.99,1.0,1.0422,1.1674,1.0
BE,2023-06-19,181,553177.58,18357.23,6587.67,9412.43,8437.37,4215.83,99.11,0.0,1.0424,1.1963,0.0
BE,2023-06-26,182,584154.64,16323.65,9684.34,9299.73,6711.87,3548.24,104.41,0.0,1.0426,1.2242,0.0
BE,2023-07-03,183,595242.43,20327.8,7712.43,8288.98,7245.82,2697.98,88.04,0.0,1.0429,1.25,0.0
BE,2023-07-10,184,593286.11,21136.06,7383.62,9666.45,5252.44,2584.49,98.22,0.0,1.0431,1.2721,0.0
BE,2023-07-17,185,590424.17,20703.76,9666.64,8217.09,6443.22,5899.3,110.97,0.0,1.0434,1.2892,0.0
BE,2023-07-24,186,602451.73,18129.02,8044.25,8246.83,6963.38,4679.24,109.7,0.0,1.0436,1.3001,0.0
BE,2023-07-31,187,578431.79,18326.35,6719.29,9945.91,4169.52,4504.29,92.03,0.0,1.0438,1.3037,0.0
BE,2023-08-07,188,600581.72,18299.63,11059.94,10815.55,5075.04,3025.71,94.54,0.0,1.0441,1.2992,0.0
BE,2023-08-14,189,594409.64,18403.39,10208.17,9308.37,2957.65,3455.21,90.11,0.0,1.0443,1.2864,0.0
BE,2023-08-21,190,554950.13,18477.37,5224.34,11570.85,4926.84,2850.61,93.44,0.0,1.0445,1.2651,0.0
BE,2023-08-28,191,578731.84,20540.74,5941.29,7237.06,4230.52,2485.95,86.01,0.0,1.0448,1.2355,1.0
BE,2023-09-04,192,532726.61,16899.92,9347.43,5284.18,4795.06,2948.7,98.62,0.0,1.045,1.1985,1.0
BE,2023-09-11,193,533940.31,13896.94,7832.03,9492.24,7896.91,4203.23,106.33,0.0,1.0453,1.155,0.0
BE,2023-09-18,194,529133.27,16073.12,10758.94,6997.93,6671.08,3866.75,92.15,0.0,1.0455,1.1063,0.0
BE,2023-09-25,195,495699.33,19025.76,9285.64,7814.13,3532.05,2665.13,99.09,0.0,1.0457,1.0541,0.0
BE,2023-10-02,196,480295.63,10641.95,8775.04,5348.68,5519.63,3103.16,97.8,0.0,1.046,1.0,0.0
BE,2023-10-09,197,457765.75,10704.44,6613.92,6817.84,5784.67,3823.32,110.55,0.0,1.0462,0.9459,0.0
BE,2023-10-16,198,436808.72,19807.74,9189.59,5853.31,4681.04,2964.68,93.88,0.0,1.0465,0.8937,0.0
BE,2023-10-23,199,444514.35,22015.79,6287.61,7708.24,5245.51,3430.34,94.25,0.0,1.0467,0.845,0.0
BE,2023-10-30,200,418713.01,12750.09,10762.62,7861.18,5403.44,3688.23,91.54,0.0,1.0469,0.8015,0.0
BE,2023-11-06,201,457071.37,17638.21,9375.32,8800.95,3790.2,3728.54,88.62,0.0,1.0472,0.7645,1.0
BE,2023-11-13,202,402826.03,16142.36,7325.05,10947.16,4177.65,3687.21,105.29,0.0,1.0474,0.7349,0.0
BE,2023-11-20,203,388644.8,16896.26,10347.53,10119.76,5532.14,3099.12,98.65,0.0,1.0477,0.7136,0.0
BE,2023-11-27,204,382238.38,19240.41,13130.63,6124.82,5547.87,3226.86,100.55,0.0,1.0479,0.7008,0.0
BE,2023-12-04,205,404562.35,13685.68,8827.61,10351.61,4752.83,2854.7,112.75,0.0,1.0481,0.6963,0.0
BE,2023-12-11,206,385781.39,14636.9,10434.8,9610.12,4743.96,2585.88,113.32,0.0,1.0484,0.6999,0.0
BE,2023-12-18,207,388959.49,17997.97,8748.9,9388.58,5642.4,3742.47,83.54,0.0,1.0486,0.7108,0.0
BE,2023-12-25,208,419718.61,18941.77,9921.01,9710.22,6889.97,4538.78,106.48,0.0,1.0489,0.7279,0.0
DE,2020-01-06,1,751229.65,38159.84,16327.32,20538.95,12709.11,8643.51,97.86,1.0,1.0003,0.75,0.0
DE,2020-01-13,2,785947.12,22890.64,13550.87,18916.23,9216.74,6155.36,81.54,0.0,1.0006,0.7758,0.0
DE,2020-01-20,3,818925.52,40872.72,20159.74,17005.72,10535.02,7146.22,95.45,0.0,1.0009,0.8037,0.0
DE,2020-01-27,4,841696.3,45911.37,12921.79,17281.08,13818.9,7161.14,104.16,0.0,1.0011,0.8326,0.0
DE,2020-02-03,5,894935.45,38163.13,19244.48,15320.46,14681.65,9132.79,89.1,0.0,1.0014,0.8609,0.0
DE,2020-02-10,6,910491.11,55855.37,25757.54,24495.64,12117.33,7908.67,106.31,0.0,1.0017,0.8878,1.0
DE,2020-02-17,7,941163.99,34152.53,12812.03,21055.8,12549.0,8521.17,109.08,1.0,1.002,0.9121,0.0
DE,2020-02-24,8,915277.17,43709.72,15584.48,17329.94,14472.38,10199.67,101.27,0.0,1.0023,0.9335,0.0
DE,2020-03-02,9,938168.7,41946.86,16764.5,24540.87,13008.98,9908.63,70.0,0.0,1.0026,0.9515,1.0
